apt_id,region_cod,addr,primary_no,sub_no,apt_title,n_apt_titl,lat,lon,sectors,constructi,completion,households,heating_sy,heating_re,max_floor,min_floor,parking_ca,parking_lo,community,min_area_s,max_area_s,min_area_u,max_area_u,addr_stree,addr_short,executor,homepage,telno,category1,category2,available_,ncode,in_use,deal_cnt,lease_cnt,rent_cnt,sido_code,dong_code,gubun,join_key,area_suppl,ratio_10,ratio_20,ratio_30,ratio_40,ratio_50
"1165010307","11650",서울시 서초구 우면동 717,"717","0",우면동,서초네이처힐3단지,37.464722000000002,127.027901999999997,17동,진흥기업(주),"2013","1251",개별난방,도시가스,19층,12층,"1.13","0","1","112.06","151.95","84.61","114.79",서울시 서초구 태봉로2길 60,서울시 서초구 우면동,,,,,,,"105171","1","7","6","1","11","1165010300",아파트,"1165007170000","46",0.078966939355012,0.103508890541545,0.167601920086538,0.252721249408422,0.190453654249204
"1165010726","11650",서울시 서초구 반포동 1-1번지 일원,"1","1",반포동,래미안원베일리,37.506799999999998,126.998185000000007,23동,삼성물산㈜,"2023","2990",지역난방,열병합,35층,11층,"1.82","0","1","62.68","315.31","46.93","234.96",,서울시 서초구 반포동,,,,,,,"142155","1","11","0","0","11","1165010700",아파트분양권,"1165000010001","24",0.036184210526315,0.116973684210525,0.198421052631576,0.253026315789470,0.219473684210523
"1165010706","11650",서울시 서초구 반포동 1341,"1341","0",반포동,반포래미안아이파크,37.501879000000002,127.013411000000005,11동,"에이치디씨현대산업개발(주),삼성물산(주)","2018","829",지역난방,열병합,34층,9층,"1.6","0","-","77.27","196.96","49.84","150.96",서울시 서초구 서초중앙로 220,서울시 서초구 반포동,,,,,,,"112008","1","30","65","57","11","1165010700",아파트,"1165013410000","34",0.064787966654585,0.123640811888365,0.189334903950706,0.263954331279448,0.174836897426603
"1165010648","11650",서울시 서초구 잠원동 162,"162","0",잠원동,반포센트럴자이,37.507069000000001,127.001700999999997,7동,지에스건설(주),"2020","757",지역난방,열병합,35층,20층,"1.58","0","1","82.17","155.55","59.97","114.96",서울시 서초구 반포대로 310-6,서울시 서초구 잠원동,,,,,,,"118947","1","46","64","57","11","1165010600",아파트,"1165001620000","35",0.058635525507068,0.106207744314689,0.172341733251381,0.250030731407495,0.216840811309155
"1165010646","11650",서울시 서초구 잠원동 157,"157","0",잠원동,동아,37.509143999999999,127.010552000000004,8동,동아건설산업(주),"2002","991",개별난방,도시가스,20층,6층,"1.03","1","0","81.33","109.07","59.8","84.91",서울시 서초구 신반포로33길 15,서울시 서초구 잠원동,,,,,,,"3009","1","91","81","57","11","1165010600",아파트,"1165001570000","33",0.071728755609374,0.117743429019160,0.164684094308711,0.254220386067383,0.201296388631668
"1165010802","11650",서울시 서초구 서초동 1311-10,"1311","10",서초동,서초푸르지오써밋,37.501348000000000,127.021151000000003,7동,(주)대우건설,"2017","907",지역난방,열병합,35층,11층,"1.41","0","-","80.96","160.83","59.62","120.98",서울시 서초구 서운로 201,서울시 서초구 서초동,,,,,,,"109119","1","70","61","86","11","1165010800",아파트,"1165013110010","34",0.055191591648206,0.123957204128764,0.191591648206626,0.262572465475796,0.199462695008718
"1165010140","11650",서울시 서초구 방배동 1028-1,"1028","1",방배동,방배그랑자이,37.476841000000000,126.999627000000004,8동,지에스건설(주),"2021","758",지역난방,열병합,20층,16층,"1.98","0","1","72.91","170.8","54.99","133.87",서울시 서초구 방배로 21,서울시 서초구 방배동,,,,,,,"125757","1","11","11","7","11","1165010100",아파트,"1165010280001","33",0.029011695025849,0.102494604226271,0.175425387742809,0.228881192591477,0.229433318275360
"1165010713","11650",서울시 서초구 반포동 1342,"1342","0",반포동,반포써밋,37.501559999999998,127.017953000000006,8동,(주)대우건설,"2018","764",지역난방,열병합,35층,9층,"1.56","0","1","77.86","170.68","59.32","133.04",서울시 서초구 고무래로 89,서울시 서초구 반포동,,,,,,,"111687","1","28","22","44","11","1165010700",아파트,"1165013420000","33",0.072416144832289,0.102796205592411,0.181970363940727,0.273234546469092,0.188666377332753
"1165010603","11650",서울시 서초구 잠원동 159,"159","0",잠원동,아크로리버뷰신반포,37.514868000000000,127.007489000000007,5동,대림산업(주),"2018","595",개별난방,도시가스,35층,28층,"1.49","0","1","109.57","117.92","78.48","84.82",서울시 서초구 잠원로 117,서울시 서초구 잠원동,,,,,,,"113295","1","66","87","75","11","1165010600",아파트,"1165001590000","33",0.059411262528852,0.111645113352515,0.178992632876972,0.237139153255129,0.206089733455591
"1165010803","11650",서울시 서초구 서초동 1312-3,"1312","3",서초동,롯데캐슬클래식,37.500515000000000,127.021805999999998,15동,롯데건설(주),"2006","990",지역난방,열병합,27층,15층,"1.45","0","0","94.91","154.9","74.3","133.45",서울시 서초구 서운로 197,서울시 서초구 서초동,,,,,,,"11844","1","70","76","71","11","1165010800",아파트,"1165013120003","32",0.048681275423172,0.117307439968507,0.191838341425007,0.268731137645975,0.209946201285917
"1165010852","11650",서울시 서초구 서초동 1685-3,"1685","3",서초동,아크로비스타,37.498694000000000,127.013030999999998,3동,대림산업(주),"2004","757",지역난방,열병합,37층,22층,"2.7","0","1","128.37","305.47","101.81","242.26",서울시 서초구 서초중앙로 188,서울시 서초구 서초동,,,,,,,"3104","1","33","9","1","11","1165010800",아파트,"1165016850003","53",0.088776858167309,0.100827649421724,0.163218127409485,0.265562235462217,0.179130833310868
"1165010604","11650",서울시 서초구 잠원동 160,"160","0",잠원동,신반포자이,37.510165999999998,127.008408000000003,7동,㈜GS건설,"2018","607",지역난방,열병합,28층,23층,"1.61","0","1","85.34","203.13","59.35","153.98",서울시 서초구 잠원로 60,서울시 서초구 잠원동,,,,,,,"111703","1","51","71","57","11","1165010600",아파트,"1165001600000","35",0.069476457029963,0.099028646690813,0.146032268686203,0.253951267698385,0.221929535726044
"1165010725","11650",서울시 서초구 반포동 32-8,"32","8",반포동,디에이치라클라스,37.500695000000000,127.014008000000004,6동,현대건설(주),"2021","848",지역난방,열병합,35층,15층,"1.8","0","1","69.11","173.86","50.98","132.98",서울시 서초구 서초중앙로 206,서울시 서초구 반포동,,,,,,,"125080","1","22","19","37","11","1165010700",아파트,"1165000320008","33",0.083673469387755,0.096638655462184,0.177511004401760,0.275630252100840,0.170748299319727
"1165010854","11650",서울시 서초구 서초동 1687,"1687","0",서초동,유원서초,37.496155000000002,127.018584000000004,4동,유원건설(주),"1993","590",지역난방,열병합,18층,12층,"0.7","1","0","105.8","105.86","84.82","84.87",서울시 서초구 서초중앙로24길 43,서울시 서초구 서초동,,,,,,,"491","1","20","22","18","11","1165010800",아파트,"1165016870000","32",0.040591300133285,0.134072458499939,0.195807585120562,0.219738276990185,0.203441172906821
"1165010855","11650",서울시 서초구 서초동 1754,"1754","0",서초동,래미안서초에스티지S,37.492859000000003,127.027120999999994,5동,삼성물산(주),"2018","593",지역난방,열병합,32층,16층,"1.44","0","-","111.13","171.74","84.17","134.27",서울시 서초구 서운로 104,서울시 서초구 서초동,,,,,,,"111665","1","28","43","18","11","1165010800",아파트,"1165017540000","33",0.048651484023255,0.123923591379988,0.202430388599903,0.253835730209380,0.192026926607509
"1165010811","11650",서울시 서초구 서초동 1333,"1333","0",서초동,신동아1차,37.492018000000002,127.023953000000006,6동,신동아건설(주),"1978","893",중앙난방,열병합,13층,13층,"1","1","-","82.17","170.14","75.86","157.2",서울시 서초구 사임당로 137,서울시 서초구 서초동,,,,,,,"484","1","64","15","3","11","1165010800",재건축,"1165013330000","28",0.039412034910427,0.195429490124024,0.209393661001378,0.214124942581534,0.169912723932016
"1165010201","11650",서울시 서초구 양재동 154-2,"154","2",양재동,양재우성,37.474905000000000,127.031343000000007,10동,우성건설,"1991","794",중앙난방,도시가스,15층,12층,"0.94","1","1","89.42","101.38","73.15","84.91",서울시 서초구 바우뫼로 91,서울시 서초구 양재동,,,,,,,"504","1","25","11","3","11","1165010200",아파트,"1165001540002","30",0.034562846907846,0.109120969964178,0.184486084320750,0.242746919655159,0.219107979372515
"1165010619","11650",서울시 서초구 잠원동 56-3,"56","3",잠원동,잠원한신,37.515999999999998,127.010428000000005,7동,한신공영,"1992","540",지역난방,열병합,15층,15층,"1","1","0","94.42","94.42","84.52","84.52",서울시 서초구 잠원로 150,서울시 서초구 잠원동,,,,,,,"517","1","25","22","15","11","1165010600",아파트,"1165000560003","28",0.058534831957751,0.108138747183167,0.180567652385495,0.240747653214992,0.206309706496343
"1165010311","11650",서울시 서초구 우면동 753,"753","0",우면동,서초호반써밋,37.456552000000002,127.013064999999997,6동,울트라건설(주),"2013","550",개별난방,도시가스,25층,21층,"2","0","1","128.07","213.47","101.01","165.5",서울시 서초구 양재대로2길 109,서울시 서초구 우면동,,,,,,,"103648","1","16","11","5","11","1165010300",아파트,"1165007530000","38",0.053210185112864,0.113625712723580,0.183140670155432,0.234573927985628,0.209677419354838
"1165010602","11650",서울시 서초구 잠원동 158,"158","0",잠원동,래미안신반포팰리스,37.515289000000003,127.012151000000003,7동,삼성물산(주),"2016","843",지역난방,열병합,35층,15층,"1.55","0","-","111.79","169.02","84.42","133.06",서울시 서초구 잠원로8길 35,서울시 서초구 잠원동,,,,,,,"108228","1","40","67","60","11","1165010600",아파트,"1165001580000","33",0.069686411149826,0.105260200067438,0.168090367539620,0.248454535236597,0.206642688546701
"1165010116","11650",서울시 서초구 방배동 424-28,"424","28",방배동,방배롯데캐슬아르떼,37.483848000000002,126.984675999999993,11동,롯데건설(주),"2013","744",개별난방,도시가스,18층,10층,"1.57","0","1","84.27","251.51","59.97","216.27",서울시 서초구 방배천로18길 11,서울시 서초구 방배동,,,,,,,"104449","1","17","7","5","11","1165010100",아파트,"1165004240028","33",0.009798432250840,0.118141097424414,0.198488241881299,0.230683090705489,0.224804031354985
"1165010109","11650",서울시 서초구 방배동 1344,"1344","0",방배동,방배현대홈타운1차,37.489189000000003,126.983417000000003,8동,현대건설(주),"1999","644",개별난방,도시가스,20층,11층,"1.23","1","1","85.04","163.97","59.94","134.76",서울시 서초구 서초대로1길 30,서울시 서초구 방배동,,,,,,,"464","1","26","15","12","11","1165010100",아파트,"1165013440000","25",0.052487106970554,0.116037265014140,0.167609382798202,0.212776576276824,0.212693395441688
"1165010804","11650",서울시 서초구 서초동 1315,"1315","0",서초동,진흥,37.497326000000001,127.022910999999993,7동,진흥기업(주),"1979","615",지역난방,열병합,15층,15층,"1.21","1","0","107.5","172.16","101.32","160.46",서울시 서초구 서초대로 385,서울시 서초구 서초동,,,,,,,"492","1","14","21","10","11","1165010800",아파트,"1165013150000","32",0.038764626283531,0.130701265621268,0.182997691634163,0.248348324444797,0.218259969752446
"1165010102","11650",서울시 서초구 방배동 1008-2,"1008","2",방배동,방배래미안아트힐,37.477688000000001,127.005110999999999,10동,삼성물산(주),"2004","588",개별난방,도시가스,24층,17층,"2.11","0","1","126.48","201.28","105.27","174.5",서울시 서초구 남부순환로 2311-12,서울시 서초구 방배동,,,,,,,"9521","1","19","2","0","11","1165010100",아파트,"1165010080002","46",0.063541183145081,0.112950642116663,0.159678168033420,0.188508948372787,0.198153592243023
"1165010829","11650",서울시 서초구 서초동 1446-11,"1446","11",서초동,현대슈퍼빌,37.482824999999998,127.016088999999994,4동,현대건설(주),"2003","645",지역난방,열병합,46층,22층,"2.37","0","0","204.96","337.19","147.86","244.66",서울시 서초구 서초중앙로 15,서울시 서초구 서초동,,,,,,,"3410","1","15","4","0","11","1165010800",아파트,"1165014460011","69",0.030307617778854,0.112995034516167,0.194774131040328,0.233438294780185,0.215392999878889
"1165011104","11650",서울시 서초구 신원동 619,"619","0",신원동,서초포레스타6단지,37.449807000000000,127.055535000000006,11동,계룡건설산업(주),"2015","585",개별난방,도시가스,7층,7층,"1.05","0","-","86.35","121.75","59.93","84.79",서울시 서초구 청계산로9길 1-12,서울시 서초구 신원동,,,,,,,"108834","1","9","3","1","11","1165011100",아파트,"1165006190000","26",0.032711157847298,0.122732564689976,0.186727757539339,0.232771247230254,0.188643106621098
"1165011102","11650",서울시 서초구 신원동 579,"579","0",신원동,서초포레스타5단지,37.451523999999999,127.057119999999998,11동,"한신공영(주), 에이스종합건설(주)","2014","547",개별난방,도시가스,17층,5층,"1.27","0","-","80.4","154.33","59.93","114.92",서울시 서초구 청계산로7길 43,서울시 서초구 신원동,,,,,,,"107903","1","14","10","2","11","1165011100",아파트,"1165005790000","34",0.000000000000000,0.000000000000000,0.148148148148148,0.462962962962963,0.370370370370370
"1165010621","11650",서울시 서초구 잠원동 58-16,"58","16",잠원동,신반포10차,37.512467999999998,127.013710000000003,5동,한신공영(주),"1981","876",지역난방,열병합,12층,12층,"0","1","-","57.64","81.69","53.88","76.32",서울시 서초구 나루터로4길 39,서울시 서초구 잠원동,,,,,,,"519","1","8","0","0","11","1165010600",재건축,"1165000580016","17",0.052471258720644,0.113540336051881,0.192443745701089,0.245504569126460,0.196767220202416
"1165010626","11650",서울시 서초구 잠원동 60-3,"60","3",잠원동,신반포8차,37.511336999999997,127.012084000000002,9동,한신공영(주),"1981","864",지역난방,열병합,12층,12층,"0","1","0","56.43","154.86","52.74","143.03",서울시 서초구 나루터로4길 28,서울시 서초구 잠원동,,,,,,,"536","1","9","0","0","11","1165010600",재건축,"1165000600003","17",0.062898754050172,0.157096569462537,0.191902996292213,0.224204162073688,0.174199151551591
"1165010651","11650",서울시 서초구 잠원동 74-1번지 외 1필지,"74","1",잠원동,반포르엘,37.507392000000003,127.003005999999999,7동,롯데건설(주),"2022","596",지역난방,열병합,35층,25층,"1.77","0","1","79.34","156.21","59.94","121.6",,서울시 서초구 잠원동,,,,,,,"128008","1","85","298","288","11","1165010600",아파트분양권,"1165000740001","38",0.072565091610414,0.125843780135004,0.163050466088073,0.243892639022821,0.202989392478301
"1165010801","11650",서울시 서초구 서초동 1301-6,"1301","6",서초동,래미안서초스위트,37.502178999999998,127.020358999999999,3동,삼성물산(주),"2009","392",지역난방,열병합,31층,21층,"1.28","-","0","80.1","125.96","59.99","95.8",서울시 서초구 서운로 221,서울시 서초구 서초동,,,,,,,"25772","1","52","47","19","11","1165010800",아파트,"1165013010006","34",0.058636378098056,0.119563488275905,0.193280519232604,0.260029906779930,0.196589354458973
"1165010853","11650",서울시 서초구 서초동 1686-9,"1686","9",서초동,서초교대e편한세상,37.496937000000003,127.017375000000001,6동,대림산업(주),"2010","435",지역난방,열병합,20층,11층,"1.75","-","0","81.47","224.42","59.9","176.35",서울시 서초구 서초중앙로24길 33,서울시 서초구 서초동,,,,,,,"101344","1","28","8","8","11","1165010800",아파트,"1165016860009","34",0.041041090478072,0.120308178585539,0.189994073488738,0.226096404583167,0.211971552745949
"1165010810","11650",서울시 서초구 서초동 1332-13,"1332","13",서초동,래미안서초에스티지,37.492832999999997,127.025171999999998,4동,삼성물산(주),"2016","421",지역난방,열병합,33층,15층,"1.47","-","1","85.16","183.93","59.99","144.99",서울시 서초구 서운로 107,서울시 서초구 서초동,,,,,,,"110364","1","17","11","3","11","1165010800",아파트,"1165013320013","33",0.044900862452209,0.113719214012624,0.184760380545921,0.257224148661863,0.208677869654128
"1165010707","11650",서울시 서초구 반포동 16-6,"16","6",반포동,반포힐스테이트,37.501541000000003,126.996877999999995,5동,현대건설(주),"2012","397",지역난방,열병합,29층,25층,"1.76","-","0","86.6","190.99","59.7","155.95",서울시 서초구 신반포로16길 15-20,서울시 서초구 반포동,,,,,,,"100512","1","21","19","9","11","1165010700",아파트,"1165000160006","35",0.053502014276627,0.104530355502155,0.174711993780479,0.255353735246307,0.213654675242066
"1165010615","11650",서울시 서초구 잠원동 53-15,"53","15",잠원동,강변,37.517893000000001,127.012698999999998,4동,한신공영,"1987","360",지역난방,도시가스,15층,15층,"0.9","-","0","89.35","101.08","66.29","84.53",서울시 서초구 잠원로 166-17,서울시 서초구 잠원동,,,,,,,"511","1","20","13","15","11","1165010600",아파트,"1165000530015","30",0.049365014338386,0.103291000955893,0.183176293868633,0.242141198962174,0.212658746415404
"1165010313","11650",서울시 서초구 우면동 789,"789","0",우면동,LH서초5단지,37.459319999999998,127.025146000000007,3동,울트라건설(주) 외1,"2013","358",개별난방,도시가스,25층,13층,"1.17","-","1","81.97","116.25","59.93","84.99",서울시 서초구 양재대로2길 11,서울시 서초구 우면동,,,,,,,"104034","1","17","34","13","11","1165010300",아파트,"1165007890000","35",0.039992119779354,0.104609929078014,0.205017073811400,0.270619910690833,0.209154189650643
"1165010808","11650",서울시 서초구 서초동 1326-17,"1326","17",서초동,우성5차,37.494501999999997,127.026893999999999,2동,(주)우성건설,"1998","408",지역난방,도시가스,23층,19층,"1","-","1","74.48","167.83","57.26","134.91",서울시 서초구 서초대로74길 30,서울시 서초구 서초동,,,,,,,"490","1","17","29","18","11","1165010800",아파트,"1165013260017","24",0.041719037029875,0.160640046408198,0.213477714396209,0.235956685681136,0.184279222662669
"1165010611","11650",서울시 서초구 잠원동 50-5,"50","5",잠원동,신반포12차,37.516072999999999,127.014838999999995,3동,수도배관(공용배관) 교체완료(2021년),"1982","324",한신공영,(주),12층,12층,"0.96","-","0","59.35","114.1","55.45","106.19",서울시 서초구 잠원로14길 41,서울시 서초구 잠원동,,,,,,,"308","1","13","19","9","11","1165010600",재건축,"1165000500005","17",0.057658909343522,0.107155262243834,0.173289336575199,0.253143452587703,0.215769364362625
"1165010633","11650",서울시 서초구 잠원동 63-2,"63","2",잠원동,신반포청구,37.514333999999998,127.008403000000001,2동,주식회사 청구,"1998","347",개별난방,도시가스,18층,14층,"0","-","0","80.09","109.65","59.55","84.86",서울시 서초구 신반포로33길 66,서울시 서초구 잠원동,,,,,,,"518","1","31","23","6","11","1165010600",아파트,"1165000630002","33",0.056057082035715,0.107777821579216,0.179012102337682,0.243860133243978,0.211771198801592
"1165010617","11650",서울시 서초구 잠원동 55-12,"55","12",잠원동,신반포16차,37.517508999999997,127.009910000000005,2동,한신공영(주),"1983","396",지역난방,열병합,11층,11층,"0","-","0","57.58","91.49","52.32","83.12",서울시 서초구 잠원로 157,서울시 서초구 잠원동,,,,,,,"8149","1","34","29","12","11","1165010600",아파트,"1165000550012","17",0.044069772400950,0.114339735297044,0.188846082765876,0.238147363632487,0.211776580469983
"1165010138","11650",서울시 서초구 방배동 3278,"3278","0",방배동,방배아트자이,37.480072000000000,127.002325999999996,5동,지에스건설(주),"2018","353",지역난방,열병합,15층,10층,"1.62","-","-","80.56","159.29","59.9","126.62",서울시 서초구 명달로9길 57,서울시 서초구 방배동,,,,,,,"115037","1","28","15","7","11","1165010100",아파트,"1165032780000","32",0.078347989044255,0.110206140983133,0.169093267983277,0.155326510018740,0.191365143433760
"1165010110","11650",서울시 서초구 방배동 2001,"2001","0",방배동,방배현대홈타운2차,37.490473000000001,126.983840000000001,6동,현대건설,"2001","384",개별난방,도시가스,20층,14층,"1.26","-","0","81.58","176.05","59.86","147.26",서울시 서초구 서초대로1길 34,서울시 서초구 방배동,,,,,,,"3346","1","16","4","6","11","1165010100",아파트,"1165020010000","32",0.053238276005740,0.107680199990741,0.166149715290958,0.212490162492476,0.212166103421137
"1165010314","11650",서울시 서초구 우면동 788,"788","0",우면동,서초LH4단지,37.458205999999997,127.023515000000003,4동,울트라건설(주),"2013","424",개별난방,도시가스,25층,21층,"0","0","1","71.15","116.53","51.89","84.99",서울시 서초구 양재대로2길 33,서울시 서초구 우면동,,,,,,,"132779","1","14","28","33","11","1165010300",아파트,"1165007880000","21",0.073495022382574,0.108104496559096,0.173849134763145,0.252154740428943,0.192757399612479
"1165010809","11650",서울시 서초구 서초동 1330,"1330","0",서초동,삼성쉐르빌II,37.493960000000001,127.027794999999998,1동,삼성중공업(주),"2002","365",개별난방,도시가스,21층,12층,"0.73","-","0","50.59","101.38","35.17","70.49",서울시 서초구 강남대로53길 11,서울시 서초구 서초동,,,,,,,"9615","1","22","21","10","11","1165010800",아파트,"1165013300000","15",0.044403120464441,0.165729317851959,0.214554608127721,0.234647133526850,0.179585449927431
"1165011101","11650",서울시 서초구 신원동 568,"568","0",신원동,서초포레스타3단지,37.454872999999999,127.058976999999999,8동,한신공영(주)외1,"2014","482",개별난방,도시가스,19층,9층,"1.25","-","1","82.02","155.43","59.93","114.81",서울시 서초구 헌릉로8길 22,서울시 서초구 신원동,,,,,,,"107902","1","10","4","3","11","1165011100",아파트,"1165005680000","24",0.000000000000000,0.017429193899782,0.150326797385621,0.355119825708061,0.322440087145970
